Zone,State,City,Place Name,Type,Best Visit Time,Entry Fee,Trip Cost,Stay Duration,Activity Level,Ideal For,Nearest Hub
Central,CG,Bastar,Chitrakote Falls,Waterfall,Jul-Oct,0,5000-10000,1 Day,Medium,All,Jagdalpur Airport
Central,CG,Bastar,Teerathgarh Falls,Waterfall,Oct-Feb,0,4000-8000,1 Day,High,Friends,Jagdalpur Airport
Central,CG,Dhamtari,Gangrel Dam,Nature,Oct-Mar,0,200-1000,1 Day,Low,Families,Raipur Airport
Central,CG,Gariaband,Jatmai Mata Temple,Spiritual/Waterfall,Jul-Oct,0,500-1500,1 Day,Medium,Adventure Lovers,Raipur Airport
Central,CG,Gariaband,Ghatarani Waterfalls,Waterfall,Jul-Oct,0,500-1500,1 Day,Medium,Nature Lovers,Raipur Airport
Central,CG,Jagdalpur,Tirathgarh Falls,Waterfall,Oct-Mar,0,500-1500,1 Day,Medium,Nature Lovers,Raipur Airport
Central,CG,Kawardha,Bhoramdeo Temple,History/Spiritual,Oct-Mar,0,500-1500,1 Day,Medium,History Lovers,Raipur Airport
Central,CG,Mahasamund,Barnawapara Wildlife Sanctuary,Wildlife,Nov-Jun,100,1000-4000,1 Day,Medium,Wildlife Lovers,Raipur Airport
Central,CG,Mainpat,Dhakpo Monastery,Spiritual/Nature,Oct-Mar,0,500-2000,1 Day,Low,Nature Lovers,Raipur Airport
Central,CG,Raipur,Nandan Van Zoo,Wildlife,Year-round,50,1000-3000,1 Day,Medium,Kids,Raipur Airport
Central,CG,Raipur,Purkhauti Muktangan,Culture/Art,Year-round,20,200-1000,1 Day,Low,Culture Seekers,Raipur Airport
Central,CG,Sirpur,Laxman Temple,History/Spiritual,Oct-Mar,25,2000-5000,1 Day,Low,Family,Raipur Airport
Central,CG,Sirpur,Laxman Temple Sirpur,History,Oct-Mar,25,500-1500,1 Day,Low,History Buffs,Raipur Airport
Central,MP,Bhedaghat,Dhuandhar Falls,Nature,Sep-Mar,0,1000-3000,1 Day,Medium,Family,Jabalpur Airport
Central,MP,Bhimbetka,Rock Shelters,History,Oct-Mar,25,2000-5000,1 Day,Medium,Solo,Bhopal Airport
Central,MP,Bhopal,Upper Lake,Nature,Oct-Mar,0,3000-6000,1 Day,Medium,"Family, Couples",Bhopal Airport
Central,MP,Bhopal,Bharat Bhavan,Art/Culture,Year-round,10,100-500,2 Hours,Low,Art Lovers,Bhopal Airport
Central,MP,Bhopal,Van Vihar National Park,Wildlife,Year-round,50,200-1000,3 Hours,Medium,Families,Bhopal Airport
Central,MP,Bhopal,Indira Gandhi Rashtriya Manav Sangrahalaya,Culture/Museum,Year-round,50,200-1000,1 Day,Medium,Culture Seekers,Bhopal Airport
Central,MP,Bhopal,Taj-ul-Masajid,Spiritual/History,Year-round,0,100-500,1 Hour,Low,Architecture Lovers,Bhopal Airport
Central,MP,Gwalior,Gwalior Fort,History,Oct-Mar,75,4000-8000,1 Day,High,"Family, Solo",Gwalior Airport
Central,MP,Gwalior,Gwalior Zoo,Wildlife,Oct-Mar,20,100-500,2 Hours,Low,Families/Kids,Gwalior Airport
Central,MP,Gwalior,Teli Ka Mandir,History/Spiritual,Year-round,0,100-500,1 Hour,Low,History Buffs,Gwalior Airport
Central,MP,Indore,Rajwada Palace,History,Year-round,10,2000-5000,1 Day,Low,"Family, All",Indore Airport
Central,MP,Indore,Lal Bagh Palace,History,Year-round,10,100-500,2 Hours,Low,Architecture Lovers,Indore Airport
Central,MP,Indore,Khajrana Ganesh Temple,Spiritual,Year-round,0,100-500,1 Hour,Low,Pilgrims,Indore Airport
Central,MP,Indore,Sarafa Bazar,Culture/Food,Year-round,0,200-1000,Evening,Low,Foodies,Indore Airport
Central,MP,Jabalpur,Bhedaghat,Nature,Oct-Apr,0,5000-10000,1 Day,Medium,"Family, Friends",Jabalpur Airport
Central,MP,Jabalpur,Madan Mahal Fort,History,Year-round,0,500-1500,1 Day,High,Solo,Jabalpur Airport
Central,MP,Jabalpur,Marble Rocks,Nature,Sep-Mar,0,500-1500,1 Day,Low,Couples,Jabalpur Airport
Central,MP,Kanha,Kanha National Park,Wildlife,Oct-Jun,1500,5000-12000,2 Days,Medium,Wildlife Lovers,Jabalpur Airport
Central,MP,Khajuraho,Erotic Temples,History,Oct-Mar,40,7000-13000,2 Days,Medium,"Solo, Couples",Khajuraho Airport
Central,MP,Khajuraho,Kandariya Mahadev Temple,History,Oct-Mar,40,1000-3000,1 Day,Low,History Lovers,Khajuraho Airport
Central,MP,Khajuraho,Lakshmana Temple,History,Oct-Mar,40,500-1500,2 Hours,Low,History Lovers,Khajuraho Airport
Central,MP,Khandwa,Omkareshwar Temple,Spiritual,Year-round,0,500-2000,1 Day,Medium,Pilgrims,Indore Airport
Central,MP,Maheshwar,Maheshwar Fort,History,Oct-Mar,0,200-1000,1 Day,Low,History Lovers,Indore Airport
Central,MP,Mandu,Jahaz Mahal,History,Oct-Mar,25,1000-3000,1 Day,Medium,History Buffs,Indore Airport
Central,MP,Mandu,Rani Roopmati Pavilion,History/View,Oct-Mar,25,500-1500,1 Day,Medium,History Lovers,Indore Airport
Central,MP,Orchha,Chaturbhuj Temple,History,Oct-Mar,0,4000-8000,1 Day,Medium,All,Jhansi Station
Central,MP,Orchha,Orchha Fort,History,Oct-Mar,10,1000-3000,1 Day,Medium,History Buffs,Gwalior Airport
Central,MP,Pachmarhi,Bee Falls,Nature,Oct-Jun,0,8000-14000,3 Days,Medium,Family,Bhopal Airport
Central,MP,Pachmarhi,Jata Shankar Caves,Spiritual/Nature,Oct-Jun,0,200-1000,1 Day,Medium,Pilgrims,Bhopal Airport
Central,MP,Raisen,Bhimbetka Caves,History,Oct-Mar,25,500-1500,1 Day,Medium,History Lovers,Bhopal Airport
Central,MP,Sanchi,Sanchi Stupa,History,Oct-Mar,40,2000-5000,1 Day,Medium,Solo,Bhopal Airport
Central,MP,Sanchi,Great Stupa,History,Oct-Mar,30,500-1500,1 Day,Low,History Buffs,Bhopal Airport
Central,MP,Seoni,Pench National Park,Wildlife,Oct-Jun,1500,5000-10000,2 Days,Medium,Wildlife Lovers,Nagpur Airport
Central,MP,Ujjain,Mahakaleshwar,Spiritual,Year-round,0,5000-10000,2 Days,Medium,"Family, Senior Citizens",Indore Airport
Central,MP,Ujjain,Mahakaleshwar Temple,Spiritual,Year-round,0,500-2000,1 Day,Medium,Pilgrims,Indore Airport
Central,MP,Ujjain,Ram Ghat,Spiritual,Year-round,0,100-500,1 Hour,Low,Pilgrims,Indore Airport
Central,MP,Ujjain,Kal Bhairav Temple,Spiritual,Year-round,0,100-500,1 Hour,Low,Pilgrims,Indore Airport
Central,MP,Umaria,Bandhavgarh National Park,Wildlife,Oct-Jun,2000,6000-12000,2 Days,Medium,Wildlife Lovers,Jabalpur Airport
East,BR,Bodh Gaya,Great Buddha Statue,Spiritual,Oct-Mar,0,100-500,1 Hour,Low,Pilgrims,Gaya Airport
East,BR,Bodh Gaya,Metta Buddharam Temple,Spiritual,Oct-Mar,0,100-500,1 Hour,Low,Pilgrims,Gaya Airport
East,BR,Bodh Gaya,Royal Bhutan Monastery,Spiritual,Oct-Mar,0,100-500,1 Hour,Low,Pilgrims,Gaya Airport
East,BR,Bodhgaya,Thai Monastery,Spiritual,Oct-Mar,0,500-2000,1 Day,Low,All,Gaya Airport
East,BR,Gaya,Mahabodhi Temple,Spiritual,Oct-Mar,0,3000-7000,1 Day,Low,Family,Gaya Airport
East,BR,Gaya,Vishnupad Temple,Spiritual,Year-round,0,500-1500,1 Day,Low,Pilgrims,Gaya Airport
East,BR,Nalanda,Nalanda University Ruins,History,Oct-Mar,25,2000-4000,1 Day,Medium,Solo,Patna Airport
East,BR,Nalanda,Nalanda University,History,Oct-Mar,15,500-1500,1 Day,Medium,History Lovers,Patna Airport
East,BR,Patna,Golghar,History,Year-round,0,500-1500,1 Day,Medium,Family,Patna Airport
East,BR,Patna,Patna Museum,History,Year-round,20,500-1500,1 Day,Low,All,Patna Airport
East,BR,Patna,Mahavir Mandir,Spiritual,Year-round,0,100-500,1 Hour,Low,Pilgrims,Patna Airport
East,BR,Patna,Bihar Museum,History/Art,Year-round,100,200-1000,3 Hours,Low,History Lovers,Patna Airport
East,BR,Pawapuri,Jalmandir,Spiritual,Oct-Mar,0,200-1000,1 Day,Low,Pilgrims,Patna Airport
East,BR,Rajgir,Vishwa Shanti Stupa,Spiritual,Oct-Mar,0,2000-5000,1 Day,High,Family,Patna Airport
East,BR,Rajgir,Cyclopean Wall,History,Oct-Mar,0,100-500,1 Hour,Low,History Buffs,Gaya Airport
East,BR,Rajgir,Bimbisara Jail,History,Oct-Mar,0,100-300,1 Hour,Low,History Lovers,Gaya Airport
East,BR,Sasaram,Sher Shah Suri Tomb,History,Oct-Mar,25,200-1000,1 Day,Low,History Lovers,Varanasi Airport
East,BR,Vaishali,Ashoka Pillar,History,Oct-Mar,25,1000-3000,1 Day,Low,All,Patna Airport
